year,school_id,region,sector,n_stu,n_escs,w_sum,escs,math,read,scie,sd_escs,sd_math,sd_read,sd_scie
2009,40,Buenos Aires|Córdoba|Santa Fe,Pública,26,26,3157.14870,-1.75033,344.94157,305.74252,326.11444,0.69621,52.63307,77.70344,61.87866
2009,2,Buenos Aires|Córdoba|Santa Fe,Pública,34,33,2795.53360,-0.20639,465.69714,447.09234,457.53439,0.99286,65.19629,66.83949,61.72797
2009,81,Buenos Aires|Córdoba|Santa Fe,Pública,29,29,1850.69700,-0.83024,396.26540,411.57144,406.20569,0.95699,49.16790,69.97893,60.44817
2009,76,Buenos Aires|Córdoba|Santa Fe,Pública,30,30,3989.57680,-1.21805,400.90698,406.92037,410.33294,0.77156,55.94577,80.99143,62.13498
2009,163,Buenos Aires|Córdoba|Santa Fe,Pública,26,25,2956.29640,-1.09765,372.02484,325.82003,349.86173,1.01889,52.11945,63.10556,46.11488
2009,74,Buenos Aires|Córdoba|Santa Fe,Pública,32,32,3703.23410,-0.46230,396.34423,412.47584,421.82164,1.25304,70.02225,96.27481,87.94645
2009,89,Buenos Aires|Córdoba|Santa Fe,Pública,28,28,1191.06580,-0.70443,341.50546,371.64067,353.91996,1.05170,52.75910,63.35341,65.35126
2009,75,Buenos Aires|Córdoba|Santa Fe,Pública,32,32,3519.92920,-0.78647,436.45685,447.54292,442.61423,1.24846,66.56237,85.46450,79.97155
2009,63,Buenos Aires|Córdoba|Santa Fe,Pública,20,20,1374.97510,-0.73307,308.14031,307.74700,261.28788,0.89081,65.37577,90.51824,91.42042
2009,181,Buenos Aires|Córdoba|Santa Fe,Pública,29,28,2593.20210,-0.53841,369.22822,367.63345,394.18481,1.17705,76.76206,95.86719,81.88902
2009,149,Buenos Aires|Córdoba|Santa Fe,Pública,22,22,551.80860,-0.47668,426.72562,414.49459,462.65001,0.82228,59.55192,67.67907,62.27866
2009,55,Buenos Aires|Córdoba|Santa Fe,Pública,31,31,2270.23690,0.04250,464.99206,487.27178,499.97384,0.84666,49.16492,60.91488,49.88616
2009,117,Buenos Aires|Córdoba|Santa Fe,Pública,24,24,2770.19920,-1.13055,380.94601,343.91491,382.20702,0.89300,53.86668,65.82871,62.36379
2009,139,Buenos Aires|Córdoba|Santa Fe,Pública,31,31,2630.64830,-1.18776,367.70054,388.80997,363.54543,0.96422,56.98687,72.31520,55.92640
2009,42,Buenos Aires|Córdoba|Santa Fe,Pública,31,31,3468.42800,-0.53959,394.32334,416.81580,425.98931,0.93243,63.32535,73.74740,69.35195
