CNTSCHID,n_stu,n_escs,w_sum,STRATUM_stu,REGION_stu,SUBNATIO_stu,escs_mean,math_mean,read_mean,scie_mean,CNT,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT,region_label,stratum_label,school_type,community,class_size,grupo_geo,sector_final,sector_fuente
03200166,32,30,478.9367128697722,ARG19,3203,320300,-1.2698218056138952,336.04085749110084,349.75883326035233,363.5323048019748,ARG,ARG19,320300,3203,2.0,39.0,61.0,4.0,1.0,5.8658042857,Mendoza,"Mendoza, Public",Public,Small town (3-15k),26-30,Resto del país,Pública,Cuestionario directivo
03200167,30,28,636.5588821339034,ARG07,3202,320200,-1.1281327125388985,351.5934119075304,373.73129562623774,390.79347749929485,ARG,ARG07,320200,3202,5.0,46.0,54.0,9.0,1.0,5.5366238638,Cordoba,"Cordoba, Public",Public,Large city (1-10M),>50,Córdoba,Pública,Cuestionario directivo
03200168,32,32,674.3584526801735,ARG08,3202,320200,0.1541070218860548,455.0652630981966,482.9341117681786,506.72824870544383,ARG,ARG08,320200,3202,5.0,49.0,51.0,7.0,2.0,9.2697682927,Cordoba,"Cordoba, Private",Private,Large city (1-10M),41-45,Córdoba,Privada,Cuestionario directivo
03200169,30,29,819.2235134072197,ARG07,3202,320200,-0.9155606563593888,374.5983976731095,380.8284623053015,417.86723630453497,ARG,ARG07,320200,3202,4.0,40.0,60.0,9.0,1.0,5.0553274263,Cordoba,"Cordoba, Public",Public,City (100k-1M),>50,Córdoba,Pública,Cuestionario directivo
03200170,22,11,2280.139776501376,ARG12,3200,320000,0.5591609213545307,379.7731885589569,439.874241422354,372.1536966740167,ARG,ARG12,320000,3200,3.0,50.0,50.0,9.0,2.0,56.460459184,Rest of Country,"NEA, Private",Private,Town (15-100k),>50,Resto del país,Privada,Cuestionario directivo
03200171,28,28,523.251721328047,ARG01,3201,320100,-1.0496848776237508,352.24869457732524,369.7549327708091,385.1201079705632,ARG,ARG01,320100,3201,5.0,56.0,44.0,4.0,1.0,4.6398623853,CABA,"CABA, Public",Public,Large city (1-10M),26-30,CABA,Pública,Cuestionario directivo
03200172,26,22,491.5990180355203,ARG01,3201,320100,-0.6881306237794034,387.9871757441071,405.7412605410204,415.3407978105338,ARG,ARG01,320100,3201,,,,,,4.1797107438,CABA,"CABA, Public",No response,No response,No response,CABA,Pública,Estrato muestral (imputado)
03200173,23,22,342.4420818265008,ARG02,3201,320100,0.4317156603892507,431.2754068545452,448.2404909705268,461.22597113511466,ARG,ARG02,320100,3201,5.0,43.0,57.0,5.0,2.0,14.357491429,CABA,"CABA, Private",Private,Large city (1-10M),31-35,CABA,Privada,Cuestionario directivo
03200174,34,33,2836.644817073171,ARG10,3200,320000,0.0582911563492011,444.1455934700634,475.54459963393646,477.2030473720159,ARG,ARG10,320000,3200,5.0,51.0,49.0,9.0,2.0,39.952743902,Rest of Country,"Santa Fe, Private",Private,Large city (1-10M),>50,Santa Fe,Privada,Cuestionario directivo
03200175,17,16,1352.825216425652,ARG03,3200,320000,-0.8296977989400429,321.96121959974124,334.9473528912015,348.8574315437256,ARG,ARG03,320000,3200,4.0,49.0,51.0,9.0,1.0,22.422370189,Rest of Country,"24 Depts Buenos Aires, Public",Public,City (100k-1M),>50,Buenos Aires,Pública,Cuestionario directivo
03200176,35,33,894.1357353191763,ARG07,3202,320200,-0.4561554722861701,419.7163343627533,446.5096299698692,453.95389105382645,ARG,ARG07,320200,3202,2.0,46.0,54.0,9.0,1.0,9.4858391033,Cordoba,"Cordoba, Public",Public,Small town (3-15k),>50,Córdoba,Pública,Cuestionario directivo
03200177,31,31,3178.980010703979,ARG14,3200,320000,-0.4678503677699336,399.7531546973449,425.4108185776676,456.0454937514035,ARG,ARG14,320000,3200,4.0,42.0,58.0,9.0,2.0,28.571078151,Rest of Country,"NOA, Private",Private,City (100k-1M),>50,Resto del país,Privada,Cuestionario directivo
03200178,29,29,493.5982746229637,ARG02,3201,320100,0.7071316394700085,524.801422050926,525.7662311287722,554.9691056901067,ARG,ARG02,320100,3201,,,,,,1.053484696,CABA,"CABA, Private",No response,No response,No response,CABA,Privada,Estrato muestral (imputado)
03200179,29,28,398.0270536835002,ARG19,3203,320300,-0.9097712665257032,369.6794556950795,391.2132831749463,420.3283580268951,ARG,ARG19,320300,3203,3.0,48.0,52.0,5.0,1.0,2.2315559783,Mendoza,"Mendoza, Public",Public,Town (15-100k),31-35,Resto del país,Pública,Cuestionario directivo
03200180,31,26,305.86325621627867,ARG19,3203,320300,-0.8388453563335769,366.5587579764125,386.1215938634044,385.7501928473976,ARG,ARG19,320300,3203,4.0,42.0,58.0,9.0,1.0,4.3221715789,Mendoza,"Mendoza, Public",Public,City (100k-1M),>50,Resto del país,Pública,Cuestionario directivo
03200181,33,32,454.3605153202077,ARG02,3201,320100,-0.6236229454948526,411.8016526485738,418.988721008664,426.16180612967474,ARG,ARG02,320100,3201,2.0,50.0,50.0,9.0,2.0,5.025122,CABA,"CABA, Private",Private,Small town (3-15k),>50,CABA,Privada,Cuestionario directivo
03200182,25,8,3715.309817152175,ARG05,3200,320000,-1.8267794174989305,362.00192367072367,380.7890654029845,376.6577571967099,ARG,ARG05,320000,3200,,,,,,109.54279277,Rest of Country,"Rest of Buenos Aires, Public",No response,No response,No response,Buenos Aires,Pública,Estrato muestral (imputado)
