CNT,CNTSCHID,STRATUM,SUBNATIO,REGION,SC001Q01TA,SC002Q01TA_P,SC002Q02TA_P,SC003Q01TA,SC013Q01TA,W_NRASCHBWT
ARG,03200260,ARG05,0320000,03200,,,,,,37.960373731
ARG,03200261,ARG05,0320000,03200,1.0,48.0,52.0,1.0,1.0,219.08558553
ARG,03200262,ARG08,0320200,03202,3.0,46.0,54.0,6.0,2.0,11.345089552
ARG,03200263,ARG14,0320000,03200,3.0,38.0,62.0,3.0,2.0,97.141665714
ARG,03200264,ARG08,0320200,03202,4.0,38.0,62.0,4.0,2.0,14.076314815
ARG,03200265,ARG15,0320000,03200,1.0,55.0,45.0,1.0,1.0,181.86142857
ARG,03200266,ARG01,0320100,03201,5.0,47.0,53.0,9.0,1.0,4.9582843137
ARG,03200267,ARG20,0320300,03203,3.0,37.0,63.0,5.0,2.0,11.775
ARG,03200268,ARG03,0320000,03200,4.0,53.0,47.0,9.0,1.0,55.669332882
ARG,03200269,ARG02,0320100,03201,,,,,,7.3898852941
ARG,03200270,ARG02,0320100,03201,5.0,54.0,46.0,7.0,2.0,14.357491429
ARG,03200271,ARG07,0320200,03202,5.0,52.0,48.0,9.0,1.0,10.761325256
ARG,03200272,ARG04,0320000,03200,5.0,52.0,48.0,9.0,2.0,60.055237676
ARG,03200273,ARG03,0320000,03200,4.0,42.0,58.0,3.0,1.0,92.252037347
ARG,03200274,ARG12,0320000,03200,3.0,47.0,53.0,9.0,2.0,79.044642857
ARG,03200275,ARG11,0320000,03200,4.0,54.0,46.0,9.0,1.0,51.414633213
ARG,03200276,ARG20,0320300,03203,3.0,50.0,50.0,3.0,2.0,11.775
ARG,03200277,ARG08,0320200,03202,2.0,52.0,48.0,4.0,1.0,10.271905405
ARG,03200278,ARG10,0320000,03200,5.0,50.0,50.0,9.0,2.0,28.488043478
ARG,03200279,ARG07,0320200,03202,2.0,57.0,43.0,9.0,1.0,6.2794686957
ARG,03200280,ARG07,0320200,03202,4.0,50.0,50.0,5.0,1.0,8.3969639535
ARG,03200281,ARG02,0320100,03201,5.0,46.0,54.0,9.0,2.0,2.8390519774
ARG,03200282,ARG01,0320100,03201,5.0,52.0,48.0,3.0,1.0,9.0311607143
ARG,03200283,ARG13,0320000,03200,4.0,72.0,28.0,6.0,1.0,20.648600892
ARG,03200284,ARG18,0320000,03200,4.0,42.0,58.0,9.0,2.0,53.968112245
ARG,03200285,ARG08,0320200,03202,,,,,,6.4967606838
ARG,03200286,ARG17,0320000,03200,4.0,42.0,58.0,5.0,1.0,18.395454053
ARG,03200287,ARG06,0320000,03200,2.0,55.0,45.0,9.0,2.0,127.35923054
ARG,03200288,ARG01,0320100,03201,5.0,75.0,25.0,5.0,1.0,5.3802659574
ARG,03200289,ARG06,0320000,03200,4.0,40.0,60.0,9.0,2.0,127.35923054
ARG,03200290,ARG19,0320300,03203,,,,,,3.311341129
ARG,03200291,ARG03,0320000,03200,2.0,48.0,52.0,9.0,1.0,71.751584603
ARG,03200292,ARG13,0320000,03200,5.0,45.0,55.0,9.0,1.0,70.47457261
ARG,03200293,ARG08,0320200,03202,5.0,48.0,52.0,7.0,2.0,6.0327063492
ARG,03200294,ARG20,0320300,03203,3.0,41.0,59.0,5.0,2.0,11.775
ARG,03200295,ARG13,0320000,03200,5.0,42.0,58.0,6.0,1.0,14.094914522
ARG,03200296,ARG03,0320000,03200,3.0,63.0,38.0,9.0,1.0,10.945156973
ARG,03200297,ARG03,0320000,03200,4.0,49.0,51.0,9.0,1.0,87.265440734
ARG,03200298,ARG19,0320300,03203,3.0,43.0,57.0,4.0,1.0,6.0383279412
ARG,03200299,ARG19,0320300,03203,2.0,47.0,53.0,,1.0,3.2587801587
ARG,03200300,ARG04,0320000,03200,4.0,50.0,50.0,9.0,2.0,27.024856954
ARG,03200301,ARG15,0320000,03200,4.0,50.0,50.0,9.0,2.0,45.465357143
ARG,03200302,ARG07,0320200,03202,3.0,59.0,41.0,4.0,1.0,11.109829231
ARG,03200303,ARG07,0320200,03202,,,,,,24.12113372
ARG,03200304,ARG08,0320200,03202,5.0,48.0,52.0,6.0,2.0,6.8479369369
ARG,03200305,ARG19,0320300,03203,5.0,36.0,64.0,5.0,1.0,3.7327845455
ARG,03200306,ARG11,0320000,03200,3.0,53.0,47.0,2.0,1.0,167.64897714
ARG,03200307,ARG09,0320000,03200,2.0,57.0,43.0,4.0,1.0,79.972931429
ARG,03200308,ARG04,0320000,03200,3.0,47.0,53.0,9.0,2.0,35.249813419
ARG,03200309,ARG03,0320000,03200,3.0,56.0,44.0,9.0,1.0,27.362892434
ARG,03200310,ARG07,0320200,03202,4.0,47.0,53.0,1.0,1.0,7.7964703388
ARG,03200311,ARG15,0320000,03200,4.0,45.0,55.0,9.0,1.0,31.82575
ARG,03200312,ARG01,0320100,03201,5.0,52.0,48.0,9.0,1.0,1.2395710784
ARG,03200313,ARG07,0320200,03202,3.0,50.0,50.0,9.0,1.0,7.221389
ARG,03200314,ARG07,0320200,03202,6.0,49.0,51.0,4.0,1.0,21.830116949
ARG,03200315,ARG19,0320300,03203,1.0,53.0,47.0,3.0,1.0,11.731608571
ARG,03200316,ARG19,0320300,03203,,,,,,3.3656254098
ARG,03200317,ARG01,0320100,03201,5.0,18.0,82.0,9.0,1.0,6.0207738095
ARG,03200318,ARG19,0320300,03203,,,,,,8.212126
ARG,03200319,ARG14,0320000,03200,4.0,52.0,48.0,8.0,2.0,66.66584902
ARG,03200320,ARG01,0320100,03201,5.0,42.0,58.0,3.0,1.0,3.8903461538
ARG,03200321,ARG10,0320000,03200,3.0,45.0,55.0,9.0,2.0,50.401923077
ARG,03200322,ARG08,0320200,03202,5.0,46.0,54.0,7.0,2.0,3.7079073171
ARG,03200323,ARG08,0320200,03202,4.0,54.0,46.0,5.0,2.0,6.6097478261
ARG,03200324,ARG07,0320200,03202,1.0,45.0,55.0,4.0,1.0,20.63254
